UniprotID	ProteinName	OriginalID	ExperimentID	UniProt	Database	Ratio	Change	originalName	GeneName	Organism	StudyID	Method	Detergent	Details	Method1	Quantitation	MassSpec	Software	TissueID	Stimulous	Agent	ExpShort	Authors	Year	PubmedID	StudyDetails
B4DT69	Dihydrolipoyl dehydrogenase	B4DT69	exp118	Yes	UniprotKB	NA	NA	Dihydrolipoyl dehydrogenase	DLD	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DUU6	Pyruvate kinase	B4DUU6	exp118	Yes	UniprotKB	NA	NA	Pyruvate kinase	PKM2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DVJ0	Glucose-6-phosphate isomerase	B4DVJ0	exp118	Yes	UniprotKB	NA	NA	Glucose-6-phosphate isomerase	GPI	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DY56	ATP synthase subunit alpha	B4DY56	exp118	Yes	UniprotKB	NA	NA	ATP synthase subunit alpha	ATP5A1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DYB2	cDNA FLJ52802, highly similar to Eukaryotic translation initiation factor 3subunit 6-interacting protein	B4DYB2	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ52802, highly similar to Eukaryotic translation initiation factor 3subunit 6-interacting protein	NA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E1H9	Phosphoglycerate kinase	B4E1H9	exp118	Yes	UniprotKB	NA	NA	Phosphoglycerate kinase	PGK1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E1K7	cDNA FLJ61039, highly similar to Stomatin-like protein 2	B4E1K7	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ61039, highly similar to Stomatin-like protein 2	STOML2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E2A4	cDNA FLJ53275, highly similar to Homo sapiens spectrin domain with coiled-coils 1	B4E2A4	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ53275, highly similar to Homo sapiens spectrin domain with coiled-coils 1	CYTSB	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E2S3	cDNA FLJ56561	B4E2S3	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ56561	RFTN1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E2W0	cDNA FLJ56214, highly similar to Trifunctional enzyme subunit beta, mitochondrial	B4E2W0	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ56214, highly similar to Trifunctional enzyme subunit beta, mitochondrial	HADHB	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E2Z3	cDNA FLJ54090, highly similar to 4F2 cell-surface antigen heavy chain	B4E2Z3	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ54090, highly similar to 4F2 cell-surface antigen heavy chain	SLC3A2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4E3C2	cDNA FLJ52184, highly similar to 60S ribosomal protein L17	B4E3C2	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ52184, highly similar to 60S ribosomal protein L17	RPL17	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B5BU24	14-3-3 protein beta/alpha	B5BU24	exp118	Yes	UniprotKB	NA	NA	14-3-3 protein beta/alpha	YWHAB	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B5MDF5	Putative uncharacterized protein RAN	B5MDF5	exp118	Yes	UniprotKB	NA	NA	Putative uncharacterized protein RAN	RAN	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7WNL4	Oxysterol-binding protein	B7WNL4	exp118	Yes	UniprotKB	NA	NA	Oxysterol-binding protein	OSBP	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z1R5	cDNA FLJ51804, highly similar to Vacuolar ATP synthase catalytic subunit A, ubiquitous isoform	B7Z1R5	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ51804, highly similar to Vacuolar ATP synthase catalytic subunit A, ubiquitous isoform	ATP6V1A	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z2B0	cDNA FLJ53470, highly similar to Calcium/calmodulin-dependent protein kinase type II delta chain	B7Z2B0	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ53470, highly similar to Calcium/calmodulin-dependent protein kinase type II delta chain	CAMK2D	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z2T5	cDNA FLJ55427, highly similar to Sodium/potassium-transporting ATPase alpha-1 chain	B7Z2T5	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ55427, highly similar to Sodium/potassium-transporting ATPase alpha-1 chain	ATP1A1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z478	Proteasome	B7Z478	exp118	Yes	UniprotKB	NA	NA	Proteasome	PSMB2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z4U5	Nuclear factor 1	B7Z4U5	exp118	Yes	UniprotKB	NA	NA	Nuclear factor 1	NFIC	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z4V2	cDNA FLJ51907, highly similar to Stress-70 protein, mitochondrial	B7Z4V2	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ51907, highly similar to Stress-70 protein, mitochondrial	HSPA9	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z4Z4	cDNA FLJ51918, highly similar to Peroxisomal membrane protein PEX14	B7Z4Z4	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ51918, highly similar to Peroxisomal membrane protein PEX14	PEX14	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z593	cDNA FLJ52191, highly similar to Vacuolar ATP synthase subunit C	B7Z593	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ52191, highly similar to Vacuolar ATP synthase subunit C	ATP6V1C1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z5A2	cDNA FLJ57759, moderately similar to Transgelin-2	B7Z5A2	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ57759, moderately similar to Transgelin-2	NA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z5E3	L-lactate dehydrogenase	B7Z5E3	exp118	Yes	UniprotKB	NA	NA	L-lactate dehydrogenase	LDHA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z5E7	cDNA FLJ51046, highly similar to 60 kDa heat shock protein, mitochondrial	B7Z5E7	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ51046, highly similar to 60 kDa heat shock protein, mitochondrial	HSPD1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z6U1	cDNA FLJ54173, highly similar to Ran-specific GTPase-activating protein	B7Z6U1	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ54173, highly similar to Ran-specific GTPase-activating protein	RANBP1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z6W7	cDNA FLJ55662, highly similar to Proto-oncogene tyrosine-protein kinase FGR	B7Z6W7	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ55662, highly similar to Proto-oncogene tyrosine-protein kinase FGR	FGR	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B7Z792	cDNA FLJ53932, highly similar to NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	B7Z792	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ53932, highly similar to NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	NDUFS2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
