Experiment ID	Author	Year	Pubmed Link	Publication Title	Cell or tissue type	Organism	Biochemical method of raft extraction	Detergent	Experiment Descrition	Quantitative method	Treatment
exp025	Man et al.	2005	http://www.ncbi.nlm.nih.gov/pubmed/15602775	Mass spectrometric analysis of the glycosphingolipid-enriched microdomains of rat natural killer cells	RNK-16	Rat	DRM	Brij-58	Proteomic characterization of glycosphingolipid-enriched microdomains from natural killer cells using Brij-58	Qualitative	NA
exp026	Man et al.	2005	http://www.ncbi.nlm.nih.gov/pubmed/15602775	Mass spectrometric analysis of the glycosphingolipid-enriched microdomains of rat natural killer cells	RNK-16	Rat	DRM	Nonidet P-40	Proteomic characterization of glycosphingolipid-enriched microdomains from natural killer cells with Nonidet P-450	Qualitative	NA
exp027	Man et al.	2005	http://www.ncbi.nlm.nih.gov/pubmed/15602775	Mass spectrometric analysis of the glycosphingolipid-enriched microdomains of rat natural killer cells	RNK-16	Rat	DRM	Sodium Carbonate	Proteomic characterization of glycosphingolipid-enriched microdomains from natural killer cells with sodium carbonate	Qualitative	NA
exp028	Kim et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16526083	Oxidation-reduction respiratory chains and ATP synthase complex are localized in detergent-resistant lipid rafts	Liver	Mouse	DRM	Triton X-100	Characterization of ubiquitous lipid raft marker proteins from mouse liver	Qualitative	NA
exp029	Kim et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16526083	Oxidation-reduction respiratory chains and ATP synthase complex are localized in detergent-resistant lipid rafts	Lung	Mouse	DRM	Triton X-100	Characterization of ubiquitous lipid raft marker proteins from mouse lung	Qualitative	NA
exp030	Kim et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16526083	Oxidation-reduction respiratory chains and ATP synthase complex are localized in detergent-resistant lipid rafts	Kidney	Mouse	DRM	Triton X-100	Characterization of ubiquitous lipid raft marker proteins from mouse liver	Qualitative	NA
exp031	Kim et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16526083	Oxidation-reduction respiratory chains and ATP synthase complex are localized in detergent-resistant lipid rafts	Brain	Mouse	DRM	Triton X-100	Characterization of ubiquitous lipid raft marker proteins from mouse liver	Qualitative	NA
exp032	Martosella et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16739982	High recovery HPLC separation of lipid rafts for membrane proteome analysis	Brain	Human	DRM	Triton X-100	Characterization of human brain tissue lipid raft proteins	Qualitative	NA
exp033	Mannova et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16943187	Modification of host lipid raft proteome upon hepatitis C virus replication	Huh7	Human	DRM	sucrose-LSB	Proteomic characterization of Huh7 lipid raft protein modification upon HCV replication using 2D electrophoresis	Qualitative	NA
exp034	Mannova et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16943187	Modification of host lipid raft proteome upon hepatitis C virus replication	Huh7	Human	DRM	sucrose-LSB	Proteomic characterization of Huh7 lipid raft protein modification upon HCV replication using SILAC	SILAC	NA
exp035	Jia et al. 	2006	http://www.ncbi.nlm.nih.gov/pubmed/16861260	Quantitative proteomics analysis of detergent-resistant membranes from chemical synapses: evidence for cholesterol as spatial organizer of synaptic vesicle cycling	Synaptosome	Rat	DRM	Triton X-100	Quantitative proteomics analysis of detergent-resistant membranes isolated from rat brain synapses	18O/16O	Methyl-beta-cyclodextrin
exp036	Banfi et al.	2006	http://www.ncbi.nlm.nih.gov/pubmed/16475230	Proteomic analysis of membrane microdomains derived from both failing and non-failing human hearts	Heart	Human	Detergent Free Method	NA	Proteomic analysis of membrane microdomains derived from both failing and non-failing human hearts	2DE	NA
exp037	Sprenger  et al.	2006	http://www.ncbi.nlm.nih.gov/pubmed/16886909	Spatial segregation of transport and signalling functions between human endothelial caveolae and lipid raft proteomes	HUVEC	Human	DRM	Triton X-100	Spatial segregation of human endothelial caveolae and lipid raft proteomes	2DE	NA
exp038	Elortza et al.	2006	http://www.ncbi.nlm.nih.gov/pubmed/16602701	Modification-specific proteomics of plasma membrane proteins: identification and characterization of glycosylphosphatidylinositol-anchored proteins released upon phospholipase D treatment	HeLa	Human	Detergent Free Method	NA	Characterization of glycosylphosphatidylinositol-anchored proteins released upon phospholipase D treatment	Qualitative	 Phospholipase D
exp039	McMahon et al.	2006	http://www.ncbi.nlm.nih.gov/pubmed/16294311	Detergent-free caveolae proteome suggests an interaction with ER and mitochondria	Fibroblast	Human	Detergent Free Method	NA	Characterization of detergent-free caveolae proteome	Qualitative	NA
exp040	Feuk-Lagerstedt et al. 	2007	http://www.ncbi.nlm.nih.gov/pubmed/17152095	Lipid raft proteome of the human neutrophil azurophil granule	Neutrophil azurophil granules	Human	DRM	Triton X-100	Proteomic characterization of human neutrophil azurophil granule lipid rafts 	Qualitative	NA
exp041	Ishmael et al. 	2007	http://www.ncbi.nlm.nih.gov/pubmed/17321505	Nonmuscle myosins II-B and Va are components of detergent-resistant membrane skeletons derived from mouse forebrain	Brain	Mouse	DRM	Triton X-100	Proteomic characterization of lipid raft fractions of mouse forebrain	Qualitative	NA
exp042	Kobayashi et al. 	2007	http://www.ncbi.nlm.nih.gov/pubmed/17486660	Global analysis of dynamic changes in lipid raft proteins during T-cell activation	Jurkat T-cell; Raji	Human	DRM	Triton X-100	Comparative proteomics of lipid raft fractions from TCR/CD28 costimulated and controled T cells	DIGE	CD28
exp043	Yu et al. 	2007	http://www.ncbi.nlm.nih.gov/pubmed/17892558	Quantifying raft proteins in neonatal mouse brain by 'tube-gel' protein digestion label-free shotgun proteomics	Neonatal brain cell	Mouse	DRM	Triton X-100	Proteomic characterization of neonatal mouse brain usingTubeGeLC-MS/MS technique	Lable Free	NA
exp044	Yanagida et al.	2007	http://www.ncbi.nlm.nih.gov/pubmed/17623299	Proteomic analysis of plasma membrane lipid rafts of HL-60 cells	HL-60	Human	DRM	Triton X-100	Proteomic analysis of plasma membrane lipid rafts of HL-60 cells HL-60	Lable Free	DMSO
exp045	Dowling et al.	2007	http://www.ncbi.nlm.nih.gov/pubmed/17085086	Proteomic analysis of isolated membrane fractions from superinvasive cancer cells	MDA-MB-435S-F; MDA-MB-435S -F/Taxol-10p4p	Human	DRM	Triton X-114	Proteomic characterization of lipid raft fractions of placlitaxal resistant superinvasive cancer cells	DIGE	NA
exp046	Welker et al.	2007	http://www.ncbi.nlm.nih.gov/pubmed/17082358	Role of lipid rafts in membrane delivery of renal epithelial Na+-K+-ATPase, thick ascending limb	Liver	Rat	DRM	Triton X-100	Proteomic characterization of lipid raft fractions from rat kidney	Qualitative	NA
exp047	Behan et al.	2007	http://www.ncbi.nlm.nih.gov/pubmed/21136629	Analysis of membrane microdomain-associated proteins in the insular cortex of post-mortem human brain	Brain	Human	DRM	Triton X-100	Proteomic characterization of detergent resistant membrane fractions derived from human post-mortem insular cortex	Qualitative	NA
exp048	Adam et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18534013	Rapid preparation of nuclei-depleted detergent-resistant membrane fractions suitable for proteomics analysis	LNCap	Human	DRM	Triton X-100	Proteomic characterization of detergent resistant membrane fractions	Qualitative	NA
exp049	Adam et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18534013	Rapid preparation of nuclei-depleted detergent-resistant membrane fractions suitable for proteomics analysis	LNCap	Human	Nuclear-free DRM	Triton X-100	Proteomic characterization of nuclei depleted detergent resistant membrane fractions	Qualitative	NA
exp050	Zeaiter et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18005242	Analysis of detergent-resistant membranes of Helicobacter pylori infected gastric adenocarcinoma cells reveals a role for MARK2/Par1b in CagA-mediated disruption of cellular polarity	AGS	Human	DRM	Triton X-100	Comparative proteomic characterization of lipid raft fractions of Helicobacter Pylori infected vs. uninfected gastric adenocarcinoma (AGS) cells	iTRAQ	NA
exp051	Zeaiter et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18811656	CagA of Helicobacter pylori alters the expression and cellular distribution of host proteins involved in cell signaling	AGS	Human	DRM	Triton X-100	Comparative proteomic characterization of lipid raft fractions after WT Helicobacter Pylori infection	iTRAQ	NA
exp052	Zeaiter et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18811656	CagA of Helicobacter pylori alters the expression and cellular distribution of host proteins involved in cell signaling	AGS	Human	DRM	Triton X-100	Comparative proteomic characterization of lipid raft fractions after cagA knockout Helicobacter Pylori infection	iTRAQ	NA
exp053	Zeaiter et al. 	2008	http://www.ncbi.nlm.nih.gov/pubmed/18811656	CagA of Helicobacter pylori alters the expression and cellular distribution of host proteins involved in cell signaling	AGS	Human	DRM	Triton X-100	Comparative proteomic characterization of lipid raft fractions after vgaA knockout Helicobacter Pylori infection	iTRAQ	NA
exp054	Baruthio et al.	2008	http://www.ncbi.nlm.nih.gov/pubmed/18942674	Proteomic analysis of membrane rafts of melanoma cells identifies protein patterns characteristic of the tumor progression stage	SBCL2; WM793; WM239A; SK-MEL-28	Human	DRM	Triton X-100	Proteomic characterization of detergent resistant membrane fractions from the melanomas at different stages of progression	Lable Free	NA
exp055	Lafourcade et al.	2008	http://www.ncbi.nlm.nih.gov/pubmed/18648502	Regulation of the V-ATPase along the endocytic pathway occurs through reversible subunit association and membrane localization	BHK	Hamster	DRM	Triton X-100	Protein characterization from the late endosomal detergent resistant fraction of BHK cells	Qualitative	NA
exp056	Elliot et al.	2008	http://www.ncbi.nlm.nih.gov/pubmed/17944869	Differential distribution of proteins and lipids in detergent-resistant and detergent-soluble domains in rod outer segment plasma membranes and disks	Retina	Bovine	DRM	Triton X-100	Proteomic characterization of detergent resistant membrane fractions from retinal rod outer segment	Qualitative	NA
exp057	Mellgren et al.	2008	http://www.ncbi.nlm.nih.gov/pubmed/17870178	Detergent-resistant membrane subfractions containing proteins of plasma membrane, mitochondrial, and internal membrane origins	HEK293	Human	DRM	Triton X-100	Proteomic characterization of detergent resistant membrane subfractions from HEK293 cell	Qualitative	NA
exp058	Dhungana et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/18815123	Quantitative proteomics analysis of macrophage rafts reveals compartmentalized activation of the proteasome and of proteasome-mediated ERK activation in response to lipopolysaccharide	RAW264.7	Mouse	DRM	Triton X-100	Proteomic analysis of detergent resistant membrane fraction from macrophage after 5 min lipopolysaccharide exposure	Qualitative	Lipopolysaccharide
exp059	Dhungana et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/18815123	Quantitative proteomics analysis of macrophage rafts reveals compartmentalized activation of the proteasome and of proteasome-mediated ERK activation in response to lipopolysaccharide	RAW264.7	Mouse	DRM	Triton X-100	Proteomic analysis of detergent resistant membrane fraction from macrophage after 30 min lipopolysaccharide exposure	Qualitative	Lipopolysaccharide
exp060	Dhungana et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/18815123	Quantitative proteomics analysis of macrophage rafts reveals compartmentalized activation of the proteasome and of proteasome-mediated ERK activation in response to lipopolysaccharide	RAW264.7	Mouse	DRM	Triton X-100	Proteomic analysis of detergent resistant membrane fraction from macrophage after 5 min lipopolysaccharide exposure using SILAC	SILAC	Lipopolysaccharide
exp061	Dhungana et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/18815123	Quantitative proteomics analysis of macrophage rafts reveals compartmentalized activation of the proteasome and of proteasome-mediated ERK activation in response to lipopolysaccharide	RAW264.7	Mouse	DRM	Triton X-100	Proteomic analysis of detergent resistant membrane fractions from macrophage after 30 min lipopolysaccharide exposure using SILAC	SILAC	Lipopolysaccharide
exp062	Asano et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19006178	Biochemical characterization of membrane fractions in murine sperm: identification of three distinct sub-types of membrane rafts	Sperm cell	Mouse	Detergent Free Method	NA	Relative protein abundance in different detergent resistant membrane sub-fractions from murine sperm	iTRAQ	NA
exp063	Ogawa et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19156860	Proteomic analysis of optic nerve lipid rafts reveals new paranodal proteins	Optic nerve	Mouse	DRM	Triton X-100	Proteomic analysis of optic nerve lipid rafts	Qualitative	NA
exp064	Boyd et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19346216	Protein profiling of plasma membranes defines aberrant signaling pathways in mantle cell lymphoma	B Cell; MCL	Human	DRM	Triton X-100	Proteomic analysis of lipid rafts from primary B-cells and B-cells derived from mantle cell lymphoma patients	Lable Free	NA
exp065	Kim et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19402044	Proteome analysis of adipocyte lipid rafts reveals that gC1qR plays essential roles in adipogenesis and insulin signal transduction	3T3-L1	Mouse	DRM	Triton X-100	Proteomic analysis of adipocyte lipid rafts	Qualitative	NA
exp066	Nixon et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/18726997	Composition and significance of detergent resistant membranes in mouse spermatozoa	Sperm cell	Mouse	DRM	Brij-35	Proteomic analysis of detergent resistant membranes from mouse spermatozoa	Qualitative	NA
exp067	Staubach et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19415654	Proteomics of MUC1-containing lipid rafts from plasma membranes and exosomes of human breast carcinoma cells MCF-7	MCF-7	Human	Affinity isolation using MUC1 antibodies	NA	Proteomic characterization of lipid rafts from MCF-7 cells purified via myc-tagged MUC1-M2	2DE	NA
exp068	Staubach et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19415654	Proteomics of MUC1-containing lipid rafts from plasma membranes and exosomes of human breast carcinoma cells MCF-7	MCF-7	Human	DRM; Affinity isolation using MUC1 antibodies	Triton X-100	Proteomic characterization of exosomal lipid rafts from MCF-7 cells purified via myc-tagged MUC1-M2	2DE	NA
exp069	Staubach et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19415654	Proteomics of MUC1-containing lipid rafts from plasma membranes and exosomes of human breast carcinoma cells MCF-7	MCF-7	Human	DRM; Affinity isolation using MUC1 antibodies	Triton X-100	Proteomic characterization of exosomal lipid rafts from MCF-7 cells purified via oligo-His-tagged MUC1-M2	2DE	NA
exp070	Zhai et al. 	2009	http://www.ncbi.nlm.nih.gov/pubmed/19438725	Proteomic characterization of lipid raft proteins in amyotrophic lateral sclerosis mouse spinal cord	Spinal cord	Mouse	Detergent Free Method	NA	Proteomic characterization of lipid rafts from WT or G93A mutant SOD1 transgenic mouse	Lable Free	NA
exp071	Thompson et al.	2009	http://www.ncbi.nlm.nih.gov/pubmed/19526546	Quantitation of glycogen synthase kinase-3 sensitive proteins in neuronal membrane rafts	SH-SY5Y	Human	DRM	CHAPSO	Characterization of glycogen synthase kinase-3 sensitive proteins in neuronal membrane rafts	iTRAQ	SB415286
exp072	Behan et al.	2009	http://www.ncbi.nlm.nih.gov/pubmed/18268500	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder reveals alterations in LAMP, STXBP1 and BASP1 protein expression	Brain	Human	DRM	Triton X-100	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia	2D-DIGE	NA
exp073	Behan et al.	2009	http://www.ncbi.nlm.nih.gov/pubmed/18268500	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder reveals alterations in LAMP, STXBP1 and BASP1 protein expression	Brain	Human	DRM	Triton X-100	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder	2D-DIGE	NA
exp074	Behan et al.	2009	http://www.ncbi.nlm.nih.gov/pubmed/18268500	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder reveals alterations in LAMP, STXBP1 and BASP1 protein expression	Brain	Human	DRM	Triton X-100	Proteomic analysis of membrane microdomain-associated proteins in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder using lable-free technique	Lable Free	NA
exp075	Chintagari et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/20169059	Vacuolar ATPase regulates surfactant secretion in rat alveolar type II cells by modulating lamellar body calcium	Type 2 pneumocyte	Rat	DRM	Triton X-100	Proteomic characterization of alveolar type II cells lipid raft	Qualitative	NA
exp076	Kim et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/20422640	Mitochondrial oxidative phosphorylation system is recruited to detergent-resistant lipid rafts during myogenesis	C2C12	Mouse	DRM	Triton X-100	Proteomic characterization of detergent-resistant lipid rafts from C2C12 myotubes┬á	Qualitative	NA
exp077	Larive et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/19962956	Cell membrane extensions, generated by mechanical constraint, are associated with a sustained lipid raft patching and an increased cell signaling	Platelets	Human	DRM	Triton X-100	Proteomic characterization of membrane microdomains in sustaining the mechanical constraint induced by the addition of excess phospholipid on the outer leaflet of platelet plasma membrane	Qualitative	Methyl-beta-cyclodextrin
exp078	Lin et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/19928914	Temporal proteomics profiling of lipid rafts in CCR6-activated T cells reveals the integration of actin cytoskeleton dynamics	Jurkat T-cell	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts from CCR6 activated T-cells after 1 minute of stimulation	iTRAQ	CCL20
exp079	Lin et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/19928914	Temporal proteomics profiling of lipid rafts in CCR6-activated T cells reveals the integration of actin cytoskeleton dynamics	Jurkat T-cell	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts from CCR6 activated T-cells after 5 minutes of stimulation	iTRAQ	CCL20
exp080	Ponce et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/20217863	The effect of simvastatin on the proteome of detergent-resistant membrane domains: decreases of specific proteins previously related to cytoskeleton regulation, calcium homeostasis and cell fate	Embryonic cortical neuron	Rat	DRM	Triton X-100	The effect of simvastatin on the proteome of detergent-resistant membrane domains of rat neurons	2DE	Simvastatin
exp081	Williamson et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/20858284	Isolation of detergent resistant microdomains from cultured neurons: detergent dependent alterations in protein composition	Embryonic cortical neuron	Rat	DRM	Triton X-100	Proteomic analysis of detergent resistant microdomains from cultured neurons using Triton X-100	Qualitative	NA
exp082	Williamson et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/20858284	Isolation of detergent resistant microdomains from cultured neurons: detergent dependent alterations in protein composition	Embryonic cortical neuron	Rat	DRM	CHAPSO	Proteomic analysis of detergent resistant microdomains from cultured neurons using CHAPSO	Qualitative	NA
exp083	Solstad et al.	2010	http://www.ncbi.nlm.nih.gov/pubmed/20486122	Quantitative proteome analysis of detergent-resistant membranes identifies the differential regulation of protein kinase C isoforms in apoptotic T cells	Jurkat T-cell	Human	DRM	Triton X-100	Quantitative proteome analysis of DRMs from control and cisplatin-induced apoptotic Jurkat T cells	SILAC	Cisplatin
exp084	Yang et al. 	2010	http://www.ncbi.nlm.nih.gov/pubmed/19801377	Proteome scale characterization of human S-acylated proteins in lipid raft-enriched and non-raft membranes	DU145	Human	Nuclear-free DRM	Triton X-100	Characterization of S-acylated protein isolation from lipid raft	Qualitative	NA
exp085	Da├é┬┤ valos et al.	2010	http://www.ncbi.nlm.nih.gov/pubmed/20585024	Quantitative proteomics of caveolin-1-regulated proteins: characterization of polymerase i and transcript release factor/CAVIN-1 IN endothelial cells	Lung	Mouse	DRM	Triton X-100	Quantitative proteomics of caveolin-1-regulated proteins from control and cavin-1 knockout mouse lung endothelial cell	iTRAQ	NA
exp086	Inder et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/22030351	Expression of PTRF in PC-3 Cells modulates cholesterol dynamics and the actin cytoskeleton impacting secretion pathways	PC3	Human	DRM	Triton X-100	Proteomic characterization of lipid rafts from control or PTRF expressing PC3 prostate cancer cells	SILAC	NA
exp087	Suzuki et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21797867	Association of membrane rafts and postsynaptic density: proteomics, biochemical, and ultrastructural analyses	Post synaptic membrane	Rat	DRM	Triton X-100	Proteomic characterization of rat postsynaptic membrane rafts	Qualitative	NA
exp088	Zheng et al. 	2011	http://www.ncbi.nlm.nih.gov/pubmed/21753190	Differential impact of caveolae and caveolin-1 scaffolds on the membrane raft proteome	MEF	Mouse	DRM	Triton X-100	Proteomic characterization of lipid rafts from Mgat5+/+  and Mgat5-/- MEF cells	SILAC	NA
