Accession	Gene_name	Protein_name
O54715	Atp6ap1;Atp6ip1;Atp6s1	V-type proton ATPase subunit S1
O54728	Plb1;Phlpb	Phospholipase B1, membrane-associated
O54753	Hsd17b6;Hsd17b9	17-beta-hydroxysteroid dehydrogenase type 6
O54861	Sort1	Sortilin
O54874	Cdc42bpa;Pk428	Serine/threonine-protein kinase MRCK alpha
O55131	Sept7;Cdc10	Septin-7
O55143	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
O70127	Abcb11;Bsep;Spgp	Bile salt export pump
O70251	Eef1b;Eef1b2	Elongation factor 1-beta
O70257	Stx7	Syntaxin-7
O70377	Snap23	Synaptosomal-associated protein 23
O70521	Rgs19;Gaip	Regulator of G-protein signaling 19
O70601	Lat	Linker for activation of T-cells family member 1
O75955	FLOT1	Flotillin-1
O88269	Abcc6;Mlp1;Mrp6	Multidrug resistance-associated protein 6
O88456	Capns1;Capn4	Calpain small subunit 1
O88600	Hspa4;Irp94	Heat shock 70 kDa protein 4
O88685	Psmc3;Tbp1	26S protease regulatory subunit 6A
O88761	Psmd1	26S proteasome non-ATPase regulatory subunit 1
O88778	Bsn	Protein bassoon
O88813	Acsl5;Acs5;Facl5	Long-chain-fatty-acid--CoA ligase 5
O88867	Kmo	Kynurenine 3-monooxygenase
O88871	Gabbr2;Gpr51	Gamma-aminobutyric acid type B receptor subunit 2
O88881	Begain	Brain-enriched guanylate kinase-associated protein
O88917	Lphn1;Cirl;Cirl1;Cl1	Latrophilin-1
O88989	Mdh1;Mdh	Malate dehydrogenase, cytoplasmic
O88994	Marc2;Mg87;Mosc2	Mitochondrial amidoxime reducing component 2
O89035	Slc25a10;rCG_34251	Mitochondrial dicarboxylate carrier
O89116	Vti1a;Vti1;Vti1l2	Vesicle transport through interaction with t-SNAREs homolog 1A
P00173	Cyb5a;Cyb5	Cytochrome b5
P00388	Por	NADPH--cytochrome P450 reductase
P00405	Mtco2;COII;mt-Co2	Cytochrome c oxidase subunit 2
P00406	Mtco2;Coii;mt-Co2	Cytochrome c oxidase subunit 2
P00507	Got2;Maat	Aspartate aminotransferase, mitochondrial
P01830	Thy1;Thy-1	Thy-1 membrane glycoprotein
P01898	H2-Q10	H-2 class I histocompatibility antigen, Q10 alpha chain
P01920	HLA-DQB1;HLA-DQB	HLA class II histocompatibility antigen, DQ beta 1 chain
P01946	Hba1;Hba-a1	Hemoglobin subunit alpha-1/2
P02091	Hbb	Hemoglobin subunit beta-1
P02304	H4-I;H4-II;H4-III;H4-IV;H4-V;H4-VI;H4-VII;HIST1H4	Histone H4
P02401	Rplp2;Rp2	60S acidic ribosomal protein P2
P02533	KRT14	Keratin, type I cytoskeletal 14
P02688	Mbp	Myelin basic protein
P02706	Asgr1;Asgr-1	Asialoglycoprotein receptor 1
P02770	Alb	Serum albumin
P04157	Ptprc	Receptor-type tyrosine-protein phosphatase C
P04166	Cyb5b;Cyb5m;Omb5	Cytochrome b5 type B
P04218	Cd200;Mox2	OX-2 membrane glycoprotein
P04636	Mdh2;Mor1	Malate dehydrogenase, mitochondrial
P04642	Ldha;Ldh-1;Ldh1	L-lactate dehydrogenase A chain
P04691	NA	Tubulin beta-2B chain
P04764	Eno1;Eno-1	Alpha-enolase
P04775	Scn2a;Scn2a1	Sodium channel protein type 2 subunit alpha
P04797	Gapdh;Gapd	Glyceraldehyde-3-phosphate dehydrogenase
P04799	Cyp1a2;Cyp1a-2	Cytochrome P450 1A2
P04800	Cyp3a1;Cyp3a-1	Cytochrome P450 3A1
P04897	Gnai2;Gnai-2	Guanine nucleotide-binding protein G
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G
P05024	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
P05026	ATP1B1;ATP1B	Sodium/potassium-transporting ATPase subunit beta-1
P05064	Aldoa;Aldo1	Fructose-bisphosphate aldolase A
P05065	Aldoa	Fructose-bisphosphate aldolase A
P05179	Cyp2c7;Cyp2c-7	Cytochrome P450 2C7
P05182	Cyp2e1;Cyp2e;Cyp2e-1	Cytochrome P450 2E1
P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme
P05213	Tuba1b;Tuba2	Tubulin alpha-1B chain
P05216	NA	Tubulin alpha-1C chain
P05217	TUBB4B; TUBB2C	Tubulin beta-4B chain
P05508	Mtnd4;mt-Nd4;Nd4	NADH-ubiquinone oxidoreductase chain 4
P05708	Hk1	Hexokinase-1
P05712	Rab2a;Rab2	Ras-related protein Rab-2A
P06239	LCK	Tyrosine-protein kinase Lck
P06685	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1
P06686	Atp1a2	Sodium/potassium-transporting ATPase subunit alpha-2
P06687	Atp1a3	Sodium/potassium-transporting ATPase subunit alpha-3
P06745	Gpi;Gpi1	Glucose-6-phosphate isomerase
P06761	Hspa5;Grp78	78 kDa glucose-regulated protein
P06762	Hmox1	Heme oxygenase 1
P06907	Mpz;P0	Myelin protein P0
P07153	Rpn1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P07308	Scd1;Scd	Acyl-CoA desaturase 1
P07323	Eno2;Eno-2	Gamma-enolase
P07335	Ckb;Ckbb	Creatine kinase B-type
P07340	Atp1b1	Sodium/potassium-transporting ATPase subunit beta-1
P07355	NA	NA
P07687	Ephx1;Eph-1	Epoxide hydrolase 1
P07722	Mag	Myelin-associated glycoprotein
P07756	Cps1	Carbamoyl-phosphate synthase [ammonia], mitochondrial
P07825	Syp	Synaptophysin
P07882	Cel	Bile salt-activated lipase
P07936	Gap43	Neuromodulin
P08011	Mgst1;Gst12	Microsomal glutathione S-transferase 1
P08050	Gja1;Cxn-43	Gap junction alpha-1 protein
P08081	Clta	Clathrin light chain A
P08113	Hsp90b1;Grp94;Tra-1;Tra1	Endoplasmin
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta
P08289	Alpl	Alkaline phosphatase, tissue-nonspecific isozyme
P08413	Camk2b	Calcium/calmodulin-dependent protein kinase type II subunit beta
P08461	Dlat	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
P08516	Cyp4a10;Cyp4a-1;Cyp4a1	Cytochrome P450 4A10
P08541	Ugt2b;Ugt2b2	UDP-glucuronosyltransferase 2B2
P08542	Ugt2b17;Ugt2b3;Ugt2b5	UDP-glucuronosyltransferase 2B17
P08551	Nefl;Nf68;Nfl	Neurofilament light polypeptide
P08644	Kras;Kras2	GTPase KRas
P08683	Cyp2c11;Cyp2c;Cyp2c-11	Cytochrome P450 2C11
P08753	Gnai3;Gnai-3	Guanine nucleotide-binding protein G
P08921	Cd2	T-cell surface antigen CD2
P09117	Aldoc	Fructose-bisphosphate aldolase C
P09527	Rab7a;Rab7	Ras-related protein Rab-7a
P09606	Glul;Glns	Glutamine synthetase
P09812	Pygm	Glycogen phosphorylase, muscle form
P09875	Ugt2b1;Udpgtr2	UDP-glucuronosyltransferase 2B1
P09951	Syn1	Synapsin-1
P0C169	NA	Histone H2A type 1-C
P0C869	PLA2G4B	Cytosolic phospholipase A2 beta
P10111	Ppia	Peptidyl-prolyl cis-trans isomerase A
P10126	Eef1a1;Eef1a	Elongation factor 1-alpha 1
P10301	RRAS	Ras-related protein R-Ras
P10536	Rab1b	Ras-related protein Rab-1B
P10687	Plcb1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
P10719	Atp5b	ATP synthase subunit beta, mitochondrial
P10818	Cox6a1;Cox6al	Cytochrome c oxidase subunit 6A1, mitochondrial
P10824	Gnai1;Gnai-1	Guanine nucleotide-binding protein G
P10833	Rras	Ras-related protein R-Ras
P10860	Glud1;Glud	Glutamate dehydrogenase 1, mitochondrial
P10888	Cox4i1;Cox4;Cox4a	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
P11021	HSPA5;GRP78	78 kDa glucose-regulated protein
P11167	Slc2a1;Glut-1;Glut1	Solute carrier family 2, facilitated glucose transporter member 1
P11240	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial
P11275	Camk2a	Calcium/calmodulin-dependent protein kinase type II subunit alpha
P11442	Cltc	Clathrin heavy chain 1
P11505	Atp2b1	Plasma membrane calcium-transporting ATPase 1
P11506	Atp2b2	Plasma membrane calcium-transporting ATPase 2
P11507	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
P11608	Mt-atp8;Atp8;Atpase8;Mtatp8	ATP synthase protein 8
P11711	Cyp2a1;Cyp2a-1	Cytochrome P450 2A1
P11730	Camk2g	Calcium/calmodulin-dependent protein kinase type II subunit gamma
P11951	Cox6c2;Cox6c	Cytochrome c oxidase subunit 6C-2
P11980	Pkm;Pkm2;Pykm	Pyruvate kinase PKM
P11983	Tcp1;Cct1;Ccta	T-complex protein 1 subunit alpha
P12001	Rpl18	60S ribosomal protein L18
P12075	Cox5b	Cytochrome c oxidase subunit 5B, mitochondrial
P12368	Prkar2a	cAMP-dependent protein kinase type II-alpha regulatory subunit
P12369	Prkar2b	cAMP-dependent protein kinase type II-beta regulatory subunit
P12785	Fasn	Fatty acid synthase
P12839	Nefm;Nef3;Nfm	Neurofilament medium polypeptide
P13084	Npm1	Nucleophosmin
P13107	Cyp2b3;Cyp2b-3	Cytochrome P450 2B3
P13221	Got1	Aspartate aminotransferase, cytoplasmic
P13233	Cnp;Cnp1	2',3'-cyclic-nucleotide 3'-phosphodiesterase
P13471	Rps14	40S ribosomal protein S14
P13596	Ncam1;Ncam	Neural cell adhesion molecule 1
P13635	Cp	Ceruloplasmin
P13647	KRT5	Keratin, type II cytoskeletal 5
P13852	Prnp;Prn;Prp	Major prion protein
P14148	Rpl7	60S ribosomal protein L7
P14152	Mdh1;Mor2	Malate dehydrogenase, cytoplasmic
P14211	Calr	Calreticulin
P14562	Lamp1;Lamp-1	Lysosome-associated membrane glycoprotein 1
P15146	Map2;Mtap2	Microtubule-associated protein 2
P15205	Map1b	Microtubule-associated protein 1B
P15252	NA	Rubber elongation factor protein
P15684	Anpep	Aminopeptidase N
P15791	Camk2d	Calcium/calmodulin-dependent protein kinase type II subunit delta
P15999	Atp5a1	ATP synthase subunit alpha, mitochondrial
P16036	Slc25a3;Phc	Phosphate carrier protein, mitochondrial
P16086	Sptan1;Spna2;Spta2	Spectrin alpha chain, non-erythrocytic 1
P16391	NA	RT1 class I histocompatibility antigen, AA alpha chain
P16617	Pgk1;Pgk-1	Phosphoglycerate kinase 1
P16638	Acly	ATP-citrate synthase
P16970	Abcd3;Pmp70;Pxmp1	ATP-binding cassette sub-family D member 3
P17046	Lamp2;Lamp-2	Lysosome-associated membrane glycoprotein 2
P17074	Rps19	40S ribosomal protein S19
P17427	Ap2a2;Adtab	AP-2 complex subunit alpha-2
P17764	Acat1	Acetyl-CoA acetyltransferase, mitochondrial
P18163	Acsl1;Acs1;Acsl2;Facl2	Long-chain-fatty-acid--CoA ligase 1
P18211	RT1-Db1	Rano class II histocompatibility antigen, D-1 beta chain
P18421	Psmb1	Proteasome subunit beta type-1
P18422	Psma3	Proteasome subunit alpha type-3
P18484	Ap2a2;Adtab	AP-2 complex subunit alpha-2
P18614	Itga1	Integrin alpha-1
P19139	Csnk2a1	Casein kinase II subunit alpha
P19234	Ndufv2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
P19488	Ugt2b37;Ugt2b5;Ugt2b6	UDP-glucuronosyltransferase 2B37
P19490	Gria1;Glur1	Glutamate receptor 1
P19491	Gria2;Glur2	Glutamate receptor 2
P19511	Atp5f1;Atp5f	ATP synthase F
P19527	Nefl;Nf68;Nfl	Neurofilament light polypeptide
P19627	Gnaz	Guanine nucleotide-binding protein G
P19643	Maob	Amine oxidase [flavin-containing] B
P19944	Rplp1	60S acidic ribosomal protein P1
P19945	Rplp0;Arbp	60S acidic ribosomal protein P0
P19969	Gabra5;Gabra-5	Gamma-aminobutyric acid receptor subunit alpha-5
P20070	Cyb5r3;Dia1	NADH-cytochrome b5 reductase 3
P20171	Hras;Hras1	GTPase HRas
P20303	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1
P20788	Uqcrfs1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
P20812	Cyp2a3;Cyp2a-3;Cyp2a3a	Cytochrome P450 2A3
P20816	Cyp4a2;Cyp4a-2;Cyp4a11	Cytochrome P450 4A2
P20817	Cyp4a14;Cyp4a-3;Cyp4a3	Cytochrome P450 4A14
P20974	Art2b;Rt6-b	T-cell ecto-ADP-ribosyltransferase 2
P21279	Gnaq	Guanine nucleotide-binding protein G
P21396	Maoa	Amine oxidase [flavin-containing] A
P21533	Rpl6	60S ribosomal protein L6
P21571	Atp5j	ATP synthase-coupling factor 6, mitochondrial
P21575	Dnm1;Dnm	Dynamin-1
P21588	Nt5e;Nt5;Nte	5'-nucleotidase
P21589	NT5E;NT5;NTE	5'-nucleotidase
P21707	Syt1	Synaptotagmin-1
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1
P21913	Sdhb;Sdh1	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
P21932	Adcy3	Adenylate cyclase type 3
P22063	Cntn2;Tax1	Contactin-2
P23358	Rpl12	60S ribosomal protein L12
P23505	NA	Cell surface glycoprotein gp42
P23562	Slc4a1;Ae1	Band 3 anion transport protein
P23565	Ina;Inexa	Alpha-internexin
P23576	Gabra2;Gabra-2	Gamma-aminobutyric acid receptor subunit alpha-2
P23978	Slc6a1;Gabt1;Gat-1;Gat1	Sodium- and chloride-dependent GABA transporter 1
P24008	Srd5a1	3-oxo-5-alpha-steroid 4-dehydrogenase 1
P24942	Slc1a3;Eaat1	Excitatory amino acid transporter 1
P25113	Pgam1	Phosphoglycerate mutase 1
P25235	Rpn2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P25286	Atp6v0a1;Atp6n1;Vpp1	V-type proton ATPase 116 kDa subunit a isoform 1
P26051	Cd44	CD44 antigen
P26284	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
P26435	Slc10a1;Ntcp	Sodium/bile acid cotransporter
P26453	Bsg	Basigin
P27274	Cd59	CD59 glycoprotein
P27471	Klrb1a;Nkrp1a	Killer cell lectin-like receptor subfamily B member 1A
P27615	Scarb2;Cd36l2;Limpii	Lysosome membrane protein 2
P27791	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha
P28023	Dctn1	Dynactin subunit 1
P28073	Psmb6;Psmb6l	Proteasome subunit beta type-6
P28480	Tcp1;Cct1;Ccta	T-complex protein 1 subunit alpha
P28661	Sept4;Pnutl2	Septin-4
P28663	Napb;Snapb	Beta-soluble NSF attachment protein
P28667	Marcksl1;Mlp;Mrp	MARCKS-related protein
P28738	Kif5c;Nkhc2	Kinesin heavy chain isoform 5C
P29101	Syt2	Synaptotagmin-2
P29418	Atp5e	ATP synthase subunit epsilon, mitochondrial
P29419	Atp5i	ATP synthase subunit e, mitochondrial
P29524	Serpinb2;Pai2;Planh2	Plasminogen activator inhibitor 2 type A
P29826	RT1-Bb	Rano class II histocompatibility antigen, B-1 beta chain
P29975	Aqp1;Chip28	Aquaporin-1
P29994	Itpr1;Insp3r	Inositol 1,4,5-trisphosphate receptor type 1
P30009	Marcks;Macs	Myristoylated alanine-rich C-kinase substrate
P30033	NA	Guanine nucleotide-binding protein G(o) subunit alpha
P30277	Ccnb1	G2/mitotic-specific cyclin-B1
P30835	Pfkl;Pfk-l	ATP-dependent 6-phosphofructokinase, liver type
P30839	Aldh3a2;Aldh4	Fatty aldehyde dehydrogenase
P31000	Vim	Vimentin
P31016	Dlg4;Dlgh4;Psd95	Disks large homolog 4
P31025	LCN1;VEGP	Lipocalin-1
P31399	Atp5h;Atp5jd	ATP synthase subunit d, mitochondrial
P31424	Grm5;Gprc1e;Mglur5	Metabotropic glutamate receptor 5
P31430	Dpep1;Rdp	Dipeptidase 1
P31596	Slc1a2;Eaat2;Glt1	Excitatory amino acid transporter 2
P31647	Slc6a11;Gabt3;Gat-3;Gat-b	Sodium- and chloride-dependent GABA transporter 3
P31662	Slc6a17;Ntt4;Rxt1	Sodium-dependent neutral amino acid transporter SLC6A17
P32089	Slc25a1;Slc20a3	Tricarboxylate transport protein, mitochondrial
P32551	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial
P32736	Opcml;Obcam	Opioid-binding protein/cell adhesion molecule
P32851	Stx1a;Sap	Syntaxin-1A
P33124	Acsl6;Acs2;Facl6	Long-chain-fatty-acid--CoA ligase 6
P34058	Hsp90ab1;Hsp84;Hspcb	Heat shock protein HSP 90-beta
P34926	Map1a;Mtap1a	Microtubule-associated protein 1A
P35053	Gpc1	Glypican-1
P35171	Cox7a2;Cox7a3;Cox7al	Cytochrome c oxidase subunit 7A2, mitochondrial
P35213	Ywhab	14-3-3 protein beta/alpha
P35280	Rab8a;Rab8	Ras-related protein Rab-8A
P35427	Rpl13a	60S ribosomal protein L13a
P35434	Atp5d	ATP synthase subunit delta, mitochondrial
P35435	Atp5c1;Atp5c	ATP synthase subunit gamma, mitochondrial
P35439	Grin1;Nmdar1	Glutamate receptor ionotropic, NMDA 1
P35486	Pdha1;Pdha-1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
P35527	KRT9	Keratin, type I cytoskeletal 9
P35564	Canx	Calnexin
P35565	Canx	Calnexin
P35571	Gpd2	Glycerol-3-phosphate dehydrogenase, mitochondrial
P35704	Prdx2;Tdpx1	Peroxiredoxin-2
P35803	Gpm6b;M6b	Neuronal membrane glycoprotein M6-b
P36372	Tap2;Abcb3;Mtp2	Antigen peptide transporter 2
P38650	Dync1h1;Dhc1;Dnch1;Dnchc1;Dnec1;Dyhc;Map1c	Cytoplasmic dynein 1 heavy chain 1
P39052	Dnm2;Dyn2	Dynamin-2
P39053	Dnm1;Dnm;Kiaa4093	Dynamin-1
P39069	Ak1	Adenylate kinase isoenzyme 1
P39688	Fyn	Tyrosine-protein kinase Fyn
P41123	Rpl13	60S ribosomal protein L13
P41350	Cav1;Cav	Caveolin-1
P41565	Idh3g	Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial
P42123	Ldhb;Ldh-2;Ldh2	L-lactate dehydrogenase B chain
P42667	Sec11a;Sec11l1;Spc18	Signal peptidase complex catalytic subunit SEC11A
P42669	Pura	Transcriptional activator protein Pur-alpha
P45380	Slc26a1;Sat1	Sulfate anion transporter 1
P45479	Ppt1;Ppt	Palmitoyl-protein thioesterase 1
P45592	Cfl1	Cofilin-1
P46096	Syt1	Synaptotagmin-1
P46097	Syt2	Synaptotagmin-2
P46101	Dpp6	Dipeptidyl aminopeptidase-like protein 6
P46462	Vcp	Transitional endoplasmic reticulum ATPase
P46471	Psmc2;Mss1	26S protease regulatory subunit 7
P46720	Slco1a1;Oatp1;Oatp1a1;Slc21a1	Solute carrier organic anion transporter family member 1A1
P47728	Calb2	Calretinin
P47819	Gfap	Glial fibrillary acidic protein
P47857	Pfkm;Pfk-m;Pfka	ATP-dependent 6-phosphofructokinase, muscle type
P47858	Pfkm;Pfk-m	ATP-dependent 6-phosphofructokinase, muscle type
P47860	Pfkp;Pfkc	ATP-dependent 6-phosphofructokinase, platelet type
P47861	Syt5	Synaptotagmin-5
P47942	Dpysl2	Dihydropyrimidinase-related protein 2
P47971	Nptx1	Neuronal pentraxin-1
P48284	Ca4	Carbonic anhydrase 4
P48414	NA	V-type proton ATPase catalytic subunit A
P48500	Tpi1	Triosephosphate isomerase
P48721	Hspa9;Grp75;Hspa9a	Stress-70 protein, mitochondrial
P48768	Slc8a2;Ncx2	Sodium/calcium exchanger 2
P49134	Itgb1	Integrin beta-1
P49432	Pdhb	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
P49803	Rgs7	Regulator of G-protein signaling 7
P49817	Cav1;Cav	Caveolin-1
P50153	Gng4;Gngt4	Guanine nucleotide-binding protein G subunit gamma-4
P50398	Gdi1;Rabgdia	Rab GDP dissociation inhibitor alpha
P50399	Gdi2;Gdi3	Rab GDP dissociation inhibitor beta
P50408	Atp6v1f;Atp6s14;Vatf	V-type proton ATPase subunit F
P50516	Atp6v1a;Atp6a1;Atp6a2;Atp6v1a1	V-type proton ATPase catalytic subunit A
P50518	Atp6v1e1;Atp6e;Atp6e2	V-type proton ATPase subunit E 1
P51146	Rab4b	Ras-related protein Rab-4B
P51863	Atp6v0d1;Atp6d	V-type proton ATPase subunit d 1
P52303	Ap1b1;Adtb1	AP-1 complex subunit beta-1
P52481	Cap2	Adenylyl cyclase-associated protein 2
P53534	Pygb	Glycogen phosphorylase, brain form
P53987	Slc16a1;Mct1	Monocarboxylate transporter 1
P54287	Cacnb3;Cacnlb3	Voltage-dependent L-type calcium channel subunit beta-3
P54290	Cacna2d1;Cacnl2a;Cchl2a	Voltage-dependent calcium channel subunit alpha-2/delta-1
P54311	Gnb1	Guanine nucleotide-binding protein G
P54313	Gnb2	Guanine nucleotide-binding protein G
P55012	Slc12a2;Nkcc1	Solute carrier family 12 member 2
P55066	Ncan;Cspg3	Neurocan core protein
P55159	Pon1;Pon	Serum paraoxonase/arylesterase 1
P55161	Nckap1;Hem2;Nap1	Nck-associated protein 1
P56571	NA	ES1 protein homolog, mitochondrial
P56603	Scamp1;Scamp	Secretory carrier-associated membrane protein 1
P57746	Atp6v1d;Atp6m;Vatd	V-type proton ATPase subunit D
P58200	Vti1b;Vti1l1	Vesicle transport through interaction with t-SNAREs homolog 1B
P59215	Gnao1;Gna0;Gnao	Guanine nucleotide-binding protein G subunit alpha
P60202	Plp1;Plp	Myelin proteolipid protein
P60570	Panx1;Px1	Pannexin-1
P60709	ACTB	Actin, cytoplasmic 1
P60710	Actb	Actin, cytoplasmic 1
P60711	Actb	Actin, cytoplasmic 1
P60756	Mdga2;Mamdc1	MAM domain-containing glycosylphosphatidylinositol anchor protein 2
P60764	Rac3	Ras-related C3 botulinum toxin substrate 3
P60879	Snap25;Snap	Synaptosomal-associated protein 25
P60881	Snap25;Snap	Synaptosomal-associated protein 25
P60905	Dnajc5;Csp	DnaJ homolog subfamily C member 5
P61023	Chp1;Chp	Calcineurin B homologous protein 1
P61026	RAB10	Ras-related protein Rab-10
P61027	Rab10	Ras-related protein Rab-10
P61107	Rab14	Ras-related protein Rab-14
P61161	Actr2;Arp2	Actin-related protein 2
P61164	Actr1a;Ctrn1	Alpha-centractin
P61227	Rap2b	Ras-related protein Rap-2b
P61264	Stx1b;Stx1b1;Stx1b2	Syntaxin-1B
P61265	Stx1b;Stx1b2	Syntaxin-1B
P61589	Rhoa;Arha;Arha2	Transforming protein RhoA
P61621	Sec61a1;Sec61a	Protein transport protein Sec61 subunit alpha isoform 1
P61751	Arf4	ADP-ribosylation factor 4
P61765	Stxbp1;Unc18a	Syntaxin-binding protein 1
P61805	Dad1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
P61979	Hnrnpk;Hnrpk	Heterogeneous nuclear ribonucleoprotein K
P61980	Hnrnpk;Hnrpk	Heterogeneous nuclear ribonucleoprotein K
P61983	Ywhag	14-3-3 protein gamma
P62082	Rps7	40S ribosomal protein S7
P62137	Ppp1ca;Ppp1a	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P62138	Ppp1ca;Ppp1a	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P62161	Calm1;Calm;Cam;Cam1;Calm2;Cam2;Camb;Calm3;Cam3;Camc	Calmodulin
P62198	Psmc5;Sug1	26S protease regulatory subunit 8
P62242	Rps8	40S ribosomal protein S8
P62250	Rps16	40S ribosomal protein S16
P62259	Ywhae	14-3-3 protein epsilon
P62260	Ywhae	14-3-3 protein epsilon
P62315	Snrpd1	Small nuclear ribonucleoprotein Sm D1
P62334	Psmc6;Sug2	26S protease regulatory subunit 10B
P62494	Rab11a;Rab11	Ras-related protein Rab-11A
P62630	Eef1a1;Eef1a	Elongation factor 1-alpha 1
P62631	Eef1a2;Eef1al;Stn	Elongation factor 1-alpha 2
P62747	Rhob;Arhb	Rho-related GTP-binding protein RhoB
P62748	Hpcal1	Hippocalcin-like protein 1
P62754	Rps6	40S ribosomal protein S6
P62761	Vsnl1;Visl1	Visinin-like protein 1
P62762	Vsnl1;Visl1	Visinin-like protein 1
P62804	Hist1h4b;Hist4;Hist1h4m;Hist4h4;H4ft	Histone H4
P62813	Gabra1;Gabra-1	Gamma-aminobutyric acid receptor subunit alpha-1
