Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
Q14254	FLOT2;ESA1;M17S1	Flotillin-2	NP_004466	Flotillin 2	exp002
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G	NP_002061	G(i) alpha 2	exp002
P62879	GNB2	Guanine nucleotide-binding protein G	NP_005264	G(i) beta 2	exp002
P19105	MYL12A;MLCB;MRLC3;RLC	Myosin regulatory light chain 12A	NP_006462	Myosin-II RLC	exp002
P49951	CLTC	Clathrin heavy chain 1	P49951	Clathrin HC	exp002
P48616	VIM	Vimentin	P48616	Vimentin	exp002
P22226	CATHL1;BAC1	Cathelicidin-1	P22226	Bactenecin 1	exp002
NA	NA	NA	XP_059807	Myosin-IG HC	exp002
NA	NA	NA	AAB09544	IgM heavy chain constant region	exp002
NA	NA	NA	I53715	Lyn B	exp002
NA	NA	NA	AAHO8633	beta-actin	exp002
NA	NA	NA	AAA83145	Immunoglobulin lambda light chain variable region	exp002
NA	NA	NA	AW425124	Bovine EST (G18.1b)	exp002
NA	NA	NA	AAB23129	Calmodulin	exp002
NA	NA	NA	AW599434	GAPR-1	exp002
P02570	ACTB	Actin, cytoplasmic 1	P02570	Actin beta	exp003
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P04901	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	exp003
Q9UJZ1	STOML2;SLP2;HSPC108	Stomatin-like protein 2, mitochondrial	Q9UJZ1	Stomatin-like 2	exp003
O60664	PLIN3;M6PRBP1;TIP47	Perilipin-3	O60664	Tail interacting Protein 47 kDa	exp003
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein	P11142	Heat-shock cognate prtoein 70	exp003
P38646	HSPA9;GRP75;HSPA9B;mt-HSP70	Stress-70 protein, mitochondrial	P38646	Glucose regulated protein 75	exp003
P35232	PHB	Prohibitin	P35232	Prohibitin	exp003
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1	P21796	VDAC1	exp003
P45880	VDAC2	Voltage-dependent anion-selective channel protein 2	P45880	VDAC2	exp003
O96008	TOMM40;C19orf1;PEREC1;TOM40	Mitochondrial import receptor subunit TOM40 homolog	O96008	Translocase of the outer mitochondrial membrane 40	exp003
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial	P06576	ATP synthase beta	exp003
O75489	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	O75489	NADH dehydrogenase	exp003
Q16891	IMMT;HMP;MINOS2;PIG4;PIG52	Mitochondrial inner membrane protein	Q16891	Mitofilin	exp003
P47985	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	P47985	Ubiquinol-cytochrome c reductase complex iron-sulphur subunit	exp003
P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	P22695	Ubiquinol-cytochrome c reductase core protein	exp003
Q9NX40	OCIAD1;OCIA	OCIA domain-containing protein 1	Q9NX40	Ovarian carcinoma immunoreactive antigen	exp003
Q9NX63	CHCHD3;MINOS3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial	Q9NX63	Hypothetical protein FLJ20420	exp003
P06239	LCK	Tyrosine-protein kinase Lck	P06239	Tyrosine-protein kinase Lck	exp003
P06241	FYN	Tyrosine-protein kinase Fyn	P06241	Tyrosine-protein kinase Fyn	exp003
Q13423	NNT	NAD(P) transhydrogenase, mitochondrial	Q13423	NAD(P) transhydrogenase ATP proton pump)	exp004
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	P05023	Na/K-transporting ATPase alpha-1	exp004
P15144	ANPEP;APN;CD13;PEPN	Aminopeptidase N	P15144	CD13 aminopeptidase N (GPI-linked)	exp004
O43707	ACTN4	Alpha-actinin-4	O43707	Alpha-actinin 4	exp004
Q93050	ATP6V0A1;ATP6N1;ATP6N1A;VPP1	V-type proton ATPase 116 kDa subunit a isoform 1	Q93050	V-ATP synthase 116 kDa subunit A isoform 1	exp004
Q13488	TCIRG1;ATP6N1C;ATP6V0A3	V-type proton ATPase 116 kDa subunit a isoform 3	Q13488	V-ATP synthase 116 kDa subunit A isoform 3	exp004
P05107	ITGB2;CD18;MFI7	Integrin beta-2	P05107	Integrin beta-2 subunit	exp004
P07900	HSP90AA1;HSP90A;HSPC1;HSPCA	Heat shock protein HSP 90-alpha	P07900	Heat shock protein HSP-90 (HSP84) alpha	exp004
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta	P08238	Heat shock protein HSP-90 (HSP84) beta	exp004
P16070	CD44;LHR;MDU2;MDU3;MIC4	CD44 antigen	P16070	CD44 antigen	exp004
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein	P11142	Heat shock cognate protein HSC-71	exp004
P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	P04844	Ribophorin II	exp004
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	P04843	Ribophorin I	exp004
P26038	MSN	Moesin	P26038	Moesin	exp004
P27824	CANX	Calnexin	P27824	Calnexin	exp004
P07948	LYN;JTK8	Tyrosine-protein kinase Lyn	P07948	Tyrosin-protein kinase LYN	exp004
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial	P06576	ATP synthase beta chain	exp004
O75844	ZMPSTE24;FACE1;STE24	CAAX prenyl protease 1 homolog	O75844	CAAX prenyl protease 1 homolog	exp004
Q14108	SCARB2;CD36L2;LIMP2;LIMPII	Lysosome membrane protein 2	Q14108	Lysosome membrane protein II (LIMP II)	exp004
P11166	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1	P11166	GLUT-1 (glucose transporter 1)	exp004
P08670	VIM	Vimentin	P08670	Vimentin	exp004
Q01518	CAP1;CAP	Adenylyl cyclase-associated protein 1	Q01518	Adenyl cyclase-associated protein 1 (CAP1)	exp004
P39656	DDOST;KIAA0115;OST48;OK/SW-cl.45	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	P39656	Oligosaccharyltransferase 48 kDa subunit	exp004
P14384	CPM	Carboxypeptidase M	P14384	Carboxypeptidase M (GPI-linked)	exp004
O75955	FLOT1	Flotillin-1	O75955	Flotillin 1	exp004
P06733	ENO1;ENO1L1;MBPB1;MPB1	Alpha-enolase	P06733	Alpha enolase	exp004
P04895	GNAS; GNAS1; GSP	Guanine nucleotide-binding protein G(s) subunit alpha	P04895	G(S),alpha-subunit	exp004
Q14254	FLOT2;ESA1;M17S1	Flotillin-2	Q14254	Flotillin 2	exp004
P02570	ACTB	Actin, cytoplasmic 1	P02570	Actin, Beta and/or Gamma	exp004
P50148	GNAQ;GAQ	Guanine nucleotide-binding protein G	P50148	G(Q),alpha-subunit	exp004
P04895	GNAS; GNAS1; GSP	Guanine nucleotide-binding protein G(s) subunit alpha	P04895	G(S),alpha-subunit	exp004
P08754	GNAI3	Guanine nucleotide-binding protein G	P08754	G(K),alpha-subunit	exp004
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G	P04899	G(I),alpha-2 subunit	exp004
P12953	ATP6V0D1; ATP6D; VPATPD	V-type proton ATPase subunit d 1	P12953	V-ATP synthase subunit D	exp004
O00182	LGALS9	Galectin-9	O00182	Galectin-9	exp004
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P04901	Annexin-II	exp004
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P04901	G(I)/G(S)/G(T), beta-subunit 1	exp004
P11016	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	P11016	G(I)/G(S)/G(T), beta-subunit 2	exp004
P04406	GAPDH;GAPD;CDABP0047;OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase	P04406	Glyceraldehyde 3-phosphate dehydrogenase	exp004
Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Q10588	ADP-ribosyl cyclase 2	exp004
O00214	LGALS8	Galectin-8	O00214	Galectin-8	exp004
O00560	SDCBP;MDA9;SYCL	Syntenin-1	O00560	Syntenin	exp004
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein	P27105	Stomatin	exp004
Q13423	NNT	NAD(P) transhydrogenase, mitochondrial	Q13423	NAD(P) transhydrogenase (ATP proton pump)	exp004
P24410	NA	Ras-related protein Rab-11A	P24410	Rab-11a	exp004
Q15907	RAB11B;YPT3	Ras-related protein Rab-11B	Q15907	Rab-11b	exp004
P51149	RAB7A;RAB7	Ras-related protein Rab-7a	P51149	Rab-7	exp004
O00161	SNAP23	Synaptosomal-associated protein 23	O00161	SNAP-23	exp004
P04792	HSPB1;HSP27;HSP28	Heat shock protein beta-1	P04792	Heat shock protein HSP-27	exp004
P11476	RAB1A; RAB1	Ras-related protein Rab-1A	P11476	Rab-1A	exp004
P15154	RAC1; TC25	Ras-related C3 botulinum toxin substrate 1	P15154	Rac 1	exp004
P15153	RAC2	Ras-related C3 botulinum toxin substrate 2	P15153	Rac 2	exp004
O14658	NA	Ras-related C3 botulinum toxin substrate 3	O14658	Rac 3	exp004
NA	NA	NA	6005721	Chromosome 8 open reading frame 2	exp004
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G	P04899	Guanine nucleotide-binding protein G(i), alpha-2	exp005
Q15149	PLEC;PLEC1	Plectin	Q15149	Plectin 1	exp005
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P04901	Guanine nucleotide-binding protein beta 1	exp005
Q15155	NOMO1;PM5	Nodal modulator 1	Q15155	Pm5 protein	exp005
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	P05023	Na+/K+-exchanging ATPase alpha 1 subunit	exp005
Q15165	PON2	Serum paraoxonase/arylesterase 2	Q15165	Aromatic esterase 2	exp005
P05026	ATP1B1;ATP1B	Sodium/potassium-transporting ATPase subunit beta-1	P05026	Na+/K+-exchanging ATPase beta 1 subunit	exp005
Q15286	RAB35;RAB1C;RAY	Ras-related protein Rab-35	Q15286	Rab3	exp005
P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	P05186	Alkaline phosphatase	exp005
Q15363	TMED2;RNP24	Transmembrane emp24 domain-containing protein 2	Q15363	COP	exp005
P05209	TUBA1A; TUBA3;TUBA1	Tubulin alpha-1B chain	P05209	Tubulin, alpha	exp005
Q15392	DHCR24;KIAA0018	Delta(24)-sterol reductase	Q15392	24-dehydrocholesterol reductase	exp005
P05556	ITGB1;FNRB;MDF2;MSK12	Integrin beta-1	P05556	Integrin, beta 1	exp005
Q15715	NA	Vacuolar protein sorting-associated protein 45	Q15715	VPS45a	exp005
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18	P05783	Keratin 18	exp005
Q15738	NSDHL;H105E3	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	Q15738	NAD(P)-dependent steroid dehydrogenase	exp005
P05787	KRT8;CYK8	Keratin, type II cytoskeletal 8	P05787	Keratin 8	exp005
Q15758	SLC1A5;ASCT2;M7V1;RDR;RDRC	Neutral amino acid transporter B	Q15758	Na+-dependent neutral amino acid transporter B(0)	exp005
P06749	RHOA; ARHA; RHO12	Transforming protein RhoA	P06749	RhoA	exp005
Q15836	VAMP3;SYB3	Vesicle-associated membrane protein 3	Q15836	VAMP-3	exp005
P06756	ITGAV;MSK8;VNRA	Integrin alpha-V	P06756	Integrin, alpha V	exp005
Q15904	ATP6AP1;ATP6IP1;ATP6S1;VATPS1;XAP3	V-type proton ATPase subunit S1	Q15904	V-ATPase subunit S1	exp005
P07099	EPHX1;EPHX;EPOX	Epoxide hydrolase 1	P07099	Epoxide hydrolase	exp005
Q16186	ADRM1;GP110	Proteasomal ubiquitin receptor ADRM1	Q16186	Adhesion regulating molecule 1	exp005
P07237	P4HB;ERBA2L;PDI;PDIA1;PO4DB	Protein disulfide-isomerase	P07237	Proline 4-hydroxylase, beta polypeptide	exp005
Q16563	SYPL1;SYPL	Synaptophysin-like protein 1	Q16563	Pantophysin	exp005
P07339	CTSD;CPSD	Cathepsin D	P07339	Cathepsin D	exp005
Q16795	NDUFA9;NDUFS2L	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	Q16795	NADH-ubiquinone oxidoreductase 39 kDa subunit	exp005
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2	P07355	Annexin II	exp005
Q16890	TPD52L1	Tumor protein D53	Q16890	TPD52-like 1	exp005
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain	P07437	Tubulin, beta 1	exp005
Q23991	NA	Peroxidasin	Q23991	Peroxidasin	exp005
P07910	HNRNPC;HNRPC	Heterogeneous nuclear ribonucleoproteins C1/C2	P07910	hnRNP C	exp005
Q8TBL3	NA	C18orf19 protein	Q8TBL3	Hypothetical  30.8 kDa protein	exp005
P08069	IGF1R	Insulin-like growth factor 1 receptor	P08069	IGF-1 receptor	exp005
Q8TCT9	HM13;H13;IMP1;PSL3;SPP;MSTP086	Minor histocompatibility antigen H13	Q8TCT9	Signal peptide peptidase	exp005
P08107	HSPA1A;HSPA1;HSX70;HSPA1B	Heat shock 70 kDa protein 1A/1B	P08107	HSP-70 protein 1	exp005
Q8TCX3	NA	Protein LYRIC	Q8TCX3	LYRIC	exp005
P08174	CD55;CR;DAF	Complement decay-accelerating factor	P08174	Complement decay-accelerating factor	exp005
Q8TDJ3	CD109; CPAMD7	CD109 antigen	Q8TDJ3	CD109	exp005
P08183	ABCB1;MDR1;PGY1	Multidrug resistance protein 1	P08183	Multidrug resistance protein	exp005
Q8W8T1	ND4	NADH-ubiquinone oxidoreductase chain 4	Q8W8T1	NADH dehydrogenase subunit 4	exp005
P08195	SLC3A2;MDU1	4F2 cell-surface antigen heavy chain	P08195	Large neutral amino acids transporter, large subunit	exp005
Q8WV00	NA	Hypothetical protein	Q8WV00	Hypothetical  34.8 kDa protein	exp005
P08206	NA	Protein S100-A10	P08206	Calpactin I light chain	exp005
Q8WWC9	NA	Golgi-associated plant pathogenesis-related protein 1	Q8WWC9	17kD fetal brain protein	exp005
P08240	SRPR	Signal recognition particle receptor subunit alpha	P08240	Signal recognition particle receptor	exp005
Q8WX51	NA	Peroxisomal membrane protein PEX14	Q8WX51	Peroxisomal biogenesis factor 14	exp005
P08574	CYC1	Cytochrome c1, heme protein, mitochondrial	P08574	Cytochrome c1	exp005
Q8WXC9	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	Q8WXC9	NADH dehydrogenase (ubiquinone) 1 alpha	exp005
P08575	PTPRC;CD45	Receptor-type tyrosine-protein phosphatase C	P08575	Protein tyrosine phosphatase 1b, receptor type	exp005
Q8WYA0	IFT81;CDV1	Intraflagellar transport protein 81 homolog	Q8WYA0	Carnitine deficiency-associated protein	exp005
P08648	ITGA5;FNRA	Integrin alpha-5	P08648	Integrin, alpha 5	exp005
Q92538	GBF1;KIAA0248	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Q92538	BFA-resistant GEF 1	exp005
P08670	VIM	Vimentin	P08670	Vimentin	exp005
Q92542	NCSTN;KIAA0253;UNQ1874/PRO4317	Nicastrin	Q92542	Nicastrin	exp005
P08708	RPS17	40S ribosomal protein S17	P08708	Ribosomal protein S17	exp005
Q92667	AKAP1;AKAP149;PRKA1	A-kinase anchor protein 1, mitochondrial	Q92667	A-kinase anchor protein 1	exp005
P08729	KRT7;SCL	Keratin, type II cytoskeletal 7	P08729	Keratin 7	exp005
Q92675	NA	Chondroitin sulfate proteoglycan 4	Q92675	Melanoma-associated chondroitin sulfate proteoglycan 4	exp005
P08754	GNAI3	Guanine nucleotide-binding protein G	P08754	Guanine nucleotide-binding protein G(i), alpha-3	exp005
Q92743	HTRA1;HTRA;PRSS11	Serine protease HTRA1	Q92743	Serine protease HTRA1	exp005
P08886	RAB2A; RAB2	Ras-related protein Rab-2A	P08886	Rab2	exp005
Q92934	BAD;BBC6;BCL2L8	Bcl2-associated agonist of cell death	Q92934	BAD	exp005
P09526	RAP1B	Ras-related protein Rap-1b	P09526	Ras-related (Rap1b)	exp005
Q969J8	NA	Flotillin-1	Q969J8	Flotillin 1	exp005
P10301	RRAS	Ras-related protein R-Ras	P10301	Ras (R-ras)	exp005
Q969M7	UBE2F;NCE2	NEDD8-conjugating enzyme UBE2F	Q969M7	NEDD8-conjugating enzyme 2	exp005
P10538	BMY1	Beta-amylase	P10538	Rab1a	exp005
Q96A63	NA	Transmembrane protein 43	Q96A63	Hypothetical protein, FLJ14560	exp005
P10586	PTPRF;LAR	Receptor-type tyrosine-protein phosphatase F	P10586	Protein tyrosine phosphatase, receptor type, f subunit	exp005
Q96CL0	NA	Zinc finger protein 485	Q96CL0	Hypothetical  45.9 kDa protein	exp005
P10620	MGST1;GST12;MGST	Microsomal glutathione S-transferase 1	P10620	Glutathione S-transferase 1	exp005
Q96DV6	RPS6	40S ribosomal protein S6	Q96DV6	Ribosomal protein S6	exp005
P10809	HSPD1;HSP60	60 kDa heat shock protein, mitochondrial	P10809	HSP-60, mitochondrial	exp005
Q96FY2	NA	Stomatin-like protein 2, mitochondrial	Q96FY2	Stomatin-like 2	exp005
P10909	CLU;APOJ;CLI;KUB1;AAG4	Clusterin	P10909	Clusterin	exp005
Q96IK9	NA	UBX domain-containing protein 6	Q96IK9	UBX domain-containing 2	exp005
P10911	MCF2;DBL	Proto-oncogene DBL	P10911	dbl	exp005
Q96IS7	NA	Nicalin	Q96IS7	Hypothetical protein, IMAGE:3161516	exp005
P11016	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	P11016	Guanine nucleotide-binding protein beta 2	exp005
Q96IX5	USMG5;DAPIT;HCVFTP2;PD04912	Up-regulated during skeletal muscle growth protein 5	Q96IX5	Hypothetical protein, MGC:14697	exp005
P11021	HSPA5;GRP78	78 kDa glucose-regulated protein	P11021	HSP-70 protein 5	exp005
Q96JH7	VCPIP1;KIAA1850;VCIP135	Deubiquitinating protein VCIP135	Q96JH7	Hypothetical protein, KIAA1850	exp005
P11117	ACP2	Lysosomal acid phosphatase	P11117	Lysosomal acid phosphatase 2	exp005
Q96JH8	RADIL;KIAA1849	Ras-associating and dilute domain-containing protein	Q96JH8	Hypothetical protein, KIAA1849	exp005
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein	P11142	HSP-70 protein 8	exp005
Q96JJ7	TMX3;KIAA1830;TXNDC10	Protein disulfide-isomerase TMX3	Q96JJ7	Hypothetical protein, KIAA1830	exp005
P11166	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1	P11166	GLUT1	exp005
Q96KX9	NA	ER membrane protein complex subunit 4	Q96KX9	Hypothetical protein, RIKEN 2610318K02	exp005
P11174	RPS15; RIG	40S ribosomal protein S15	P11174	Ribosomal protein S15	exp005
Q96MB6	NA	Dynein assembly factor 1, axonemal	Q96MB6	Hypothetical protein, FLJ32676	exp005
